,variantid,gene_symbol,variant_dsi,variant_dpi,variant_consequence_type,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei,year_initial,year_final,source,disease_id
16,rs17651119,MYO10,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
17,rs17692896,ANKRD27,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
18,rs2546057,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
19,rs270545,LINC02119;LINC02107,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2011,2011,ALL,EFO_0003761
20,rs2715148,PCLO,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2009,2011,ALL,EFO_0003761
21,rs2828520,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2011,2011,ALL,EFO_0003761
22,rs4585146,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
23,rs4650608,None,0.851,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
24,rs4765914,CACNA1C,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2019,ALL,EFO_0003761
25,rs6537837,GNAI3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2011,2011,ALL,EFO_0003761
26,rs6799788,IL12A-AS1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
27,rs7174755,ITGA11,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
28,rs7713917,None,0.925,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2010,2010,ALL,EFO_0003761
29,rs8050326,None,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
30,rs9371601,SYNE1,0.79,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
31,rs2522833,PCLO,0.827,0.08,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.78,1.0,2009,2017,ALL,EFO_0003761
32,rs12415800,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.72,1.0,2018,2019,ALL,EFO_0003761
33,rs1545843,LOC107984536,0.827,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.72,1.0,2011,2017,ALL,EFO_0003761
34,rs10514299,TMEM161B-AS1,0.827,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.71,1.0,2016,2018,ALL,EFO_0003761
35,rs10994336,ANK3,0.776,0.16,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.71,1.0,2011,2011,ALL,EFO_0003761
36,rs139438618,SEMA3A,0.882,0.08,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.71,1.0,2017,2017,ALL,EFO_0003761
37,rs2251219,PBRM1;SMIM4,0.732,0.12,synonymous variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.71,1.0,2012,2013,ALL,EFO_0003761
38,rs2715157,PCLO,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.71,1.0,2017,2017,ALL,EFO_0003761
39,rs4765905,CACNA1C,0.827,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.71,1.0,2011,2016,ALL,EFO_0003761
40,rs7597593,ZNF804A,0.827,0.16,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.71,1.0,2017,2019,ALL,EFO_0003761
41,rs9540720,PCDH9,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.71,1.0,2016,2018,ALL,EFO_0003761
42,rs10233018,None,0.925,0.04,non coding transcript exon variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
43,rs10405744,ZNF93,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
44,rs10485715,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
45,rs10809520,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
46,rs10884216,LINC02627,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
47,rs10968749,LINGO2,0.851,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
48,rs11082011,CELF4,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
49,rs111365677,None,0.925,0.04,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
50,rs11155372,UTRN,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
51,rs112106319,TNC;DELEC1,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
52,rs112538845,None,0.925,0.04,downstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
53,rs11591827,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
54,rs116609693,ANKRD19P,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
55,rs11728985,C4orf33,0.925,0.04,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
56,rs11829119,LOC107984527,0.851,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
57,rs11924809,DGKG,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
58,rs11990063,MSRA,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
59,rs12555870,None,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
60,rs139459337,ZBTB20,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
61,rs1411216,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
62,rs142484554,SPSB4,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
63,rs142641502,CSTF3,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
64,rs143405544,ADAMTS6,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
65,rs143934587,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
66,rs144733372,PLEKHM1,0.882,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
67,rs1548076,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
68,rs16875288,ADAMTS16;LOC101929200,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
69,rs1690818,CNTN5,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
70,rs16935279,LINC01592,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
71,rs17066873,None,0.851,0.04,non coding transcript exon variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
72,rs17154917,None,0.851,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
73,rs17156280,CACNA2D1,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
74,rs17158930,DOCK4,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
75,rs17211233,RASGRF2,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
76,rs17673138,NRG1,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
77,rs17790731,RFESD,0.851,0.04,5 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
78,rs182377406,None,0.925,0.04,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
79,rs183042538,ZHX3,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
80,rs183124483,NLK,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
81,rs188843168,ATP5MD,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
82,rs189864513,LINC01618,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
83,rs190783615,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
84,rs1908557,None,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
85,rs1961982,C12orf42,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
86,rs200855945,SSPN;BHLHE41,0.925,0.04,5 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
87,rs201203751,FYB1,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
88,rs201569130,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
89,rs2017122,KMT2A,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
90,rs201921722,None,0.925,0.04,downstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
91,rs2221540,OPCML,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
92,rs2302045,SNED1;MTERF4,0.851,0.04,splice region variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
93,rs2979204,None,0.925,0.04,regulatory region variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
94,rs319924,PHF3;EYS,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
95,rs34102224,None,0.925,0.04,downstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
96,rs34177316,APBB2;LOC107986273,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
97,rs352759,TUSC3,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
98,rs35792458,XKR6,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
99,rs4685959,None,0.925,0.04,regulatory region variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
100,rs4761545,None,0.925,0.04,regulatory region variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
101,rs4810896,None,0.925,0.04,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
102,rs4839421,CYMP,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
103,rs55679149,LOC105378841,0.925,0.04,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
104,rs55945116,SEC11A,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
105,rs56388524,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
106,rs5743467,DEFB1,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
107,rs6063349,CSE1L,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
108,rs62100776,DCC,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
109,rs6546604,None,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
110,rs6586354,None,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
111,rs7189979,SNX29,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
112,rs73425402,NAV3,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
113,rs74860738,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
114,rs7555693,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
115,rs75921243,None,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
116,rs75995702,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
117,rs76767803,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
118,rs77826363,None,0.882,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
119,rs77945277,BAZ1A,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
120,rs78087832,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
121,rs782212,LOC105378797,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
122,rs7828021,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
123,rs7973260,KSR2,0.851,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
124,rs80278479,TFAP2D,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
125,rs853679,ZSCAN31,0.851,0.16,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
126,rs9321987,UTRN,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
127,rs9364726,None,0.882,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
128,rs9825823,FHIT,0.851,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
129,rs9862857,LOC101927995;LOC105377013,0.851,0.04,regulatory region variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
130,rs10020288,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
131,rs1002656,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
132,rs10035449,LOC105377703,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
133,rs10061069,FAM172A;POU5F2,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
134,rs1008042,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
135,rs1011633,REV1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
136,rs10127497,SGIP1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
137,rs10144845,YLPM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
138,rs10148293,YLPM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
